e1	e2	e3	cumvol
3.0255E+00	2.3590E+00	4.1075E-01	1.5288926548712E-02
3.1121E+00	8.4938E-01	5.5245E-01	1.5733028195283E-02
2.9751E+00	5.5578E-01	5.6818E-01	1.5982258649287E-02
9.6736E-02	5.2587E-01	2.0272E-01	1.6374098622179E-02
2.8548E+00	2.3822E+00	4.2944E-01	1.6566643343745E-02
2.4246E+00	2.7016E+00	8.4292E-01	1.6963903271817E-02
3.0945E+00	2.6081E+00	7.0691E-01	1.7009374742638E-02
2.6615E+00	2.6274E+00	2.1003E-01	1.7020157686501E-02
2.7461E+00	2.5395E+00	2.1888E-01	1.7034399310472E-02
7.0580E-02	2.6557E+00	5.2102E-01	1.7331692193600E-02
4.6670E-02	2.6426E+00	8.3430E-01	1.7971505288552E-02
2.2553E-01	2.6044E+00	9.8682E-02	1.8065703458529E-02
2.3964E-01	2.7252E+00	9.9165E-01	1.8094797061784E-02
2.1089E-01	2.3710E+00	8.0907E-01	1.8644488142990E-02
2.9552E+00	2.7232E+00	6.0969E-01	1.8816728377809E-02
3.0528E+00	6.9265E-01	1.9000E-01	1.9553433344186E-02
9.3375E-02	6.3699E-01	3.9247E-01	1.9749131568202E-02
2.1436E-01	2.3899E+00	5.7723E-01	1.9923464304486E-02
2.2309E+00	3.1929E-01	3.9399E-01	1.9935162781319E-02
4.1373E-01	2.6292E+00	2.3771E-02	2.0050356156805E-02
1.0814E+00	6.9522E-01	5.4362E-01	2.0189628049391E-02
4.5831E-01	3.3413E-01	8.0488E-01	2.0231844291875E-02
4.7332E-01	2.5957E+00	7.6402E-01	2.0250561854808E-02
2.5539E+00	5.2884E-01	6.8225E-01	2.0294202259690E-02
2.5784E+00	7.8585E-01	1.0151E+00	2.0545964670984E-02
2.9746E+00	2.4710E+00	1.9946E-01	2.1019689912672E-02
2.6074E+00	2.5913E+00	9.0893E-01	2.1176631591570E-02
2.3438E-01	5.5374E-01	5.9853E-02	2.1468934820014E-02
2.6567E+00	2.2969E+00	6.6058E-02	2.1631622994184E-02
2.6925E-01	6.2006E-01	1.9399E-01	2.1884783119145E-02
2.7651E+00	2.3094E+00	2.3840E-01	2.1986812147788E-02
2.9041E-01	2.3129E+00	1.4062E-01	2.2888720969484E-02
2.7999E+00	7.8423E-01	6.9506E-02	2.2911914471379E-02
2.6348E+00	5.7582E-01	3.3186E-01	2.3138167082365E-02
2.9381E+00	7.9301E-01	6.8915E-01	2.3171024543383E-02
2.2993E-01	2.3178E+00	8.7148E-01	2.3483572240302E-02
2.1019E+00	2.5803E+00	5.3584E-01	2.4178422091088E-02
8.7922E-02	5.6067E-01	5.0737E-01	2.4389829843602E-02
3.1372E+00	2.3794E+00	7.8494E-01	2.4599590654031E-02
2.5798E+00	6.8869E-01	7.1505E-01	2.4674867809304E-02
2.8747E+00	7.9474E-01	4.4448E-01	2.5012970065920E-02
1.2898E-01	1.1292E+00	4.0900E-01	2.5035553212502E-02
2.6543E+00	6.7068E-01	7.8365E-01	2.5127818590655E-02
2.7424E+00	2.5904E+00	4.8016E-02	2.5413646966487E-02
2.9412E+00	7.3969E-01	3.6481E-01	2.5531464869819E-02
1.7022E-01	5.9493E-01	7.6093E-01	2.5903893509240E-02
2.3286E+00	6.2450E-01	8.2151E-01	2.5907321671582E-02
3.5195E-01	5.1822E-01	2.4960E-02	2.5933261772385E-02
3.2737E-01	2.1572E+00	4.7529E-01	2.5999993953276E-02
2.4704E-01	4.6387E-01	9.9749E-01	2.6116928875923E-02
2.9477E+00	5.2674E-01	1.4945E-01	2.6505943920975E-02
3.1781E-01	2.6731E+00	6.4844E-01	2.6547854985803E-02
2.1078E-01	2.4319E+00	9.8728E-01	2.6785943403567E-02
3.8021E-02	2.5948E+00	7.1740E-01	2.7106459289098E-02
3.1273E+00	4.8161E-01	1.2463E-01	2.7118361217702E-02
1.8714E-01	2.3496E+00	3.0213E-01	2.7367085076796E-02
3.1235E-01	7.7067E-01	4.1890E-02	2.7565580762663E-02
2.9997E+00	2.6033E+00	7.7047E-02	2.7672692016546E-02
1.7044E-01	2.1480E+00	8.4170E-01	2.7798305174485E-02
2.4951E-01	9.2244E-01	4.3946E-01	2.8030884118291E-02
9.7656E-01	2.4660E+00	4.0422E-01	2.8074931426714E-02
7.5745E-02	1.3285E+00	8.8249E-01	2.8457210183628E-02
3.2260E-02	7.0092E-01	8.3606E-01	2.8511328354717E-02
2.6335E+00	2.6182E+00	6.4560E-01	2.8851285074226E-02
2.6189E+00	5.3163E-01	6.6441E-01	2.8957352620524E-02
2.7697E+00	6.2106E-01	1.2578E-01	2.9100175763772E-02
2.6876E+00	2.6276E+00	1.6569E-02	2.9268308307334E-02
4.8336E-02	2.8196E+00	4.0954E-01	2.9322935107850E-02
2.8578E+00	2.4773E+00	3.9499E-01	2.9484471744996E-02
2.8330E+00	9.2567E-01	5.9786E-01	2.9703704252623E-02
3.0856E+00	2.5613E+00	5.0992E-01	2.9741851459688E-02
4.3836E-02	7.5890E-01	3.0610E-01	3.0008249174129E-02
3.0034E+00	2.5941E+00	1.2073E-02	3.0025033945238E-02
1.0895E+00	8.3315E-01	8.1235E-01	3.0062570796989E-02
2.2337E+00	2.9407E+00	3.5851E-01	3.0070708867829E-02
2.1982E+00	2.4334E-01	8.3726E-01	3.0621742730725E-02
2.1431E-01	2.2759E+00	4.6337E-01	3.0737828242227E-02
1.6590E+00	2.3122E-01	4.9130E-01	3.0857774251084E-02
5.1000E-01	2.4482E+00	6.2366E-01	3.0896124909920E-02
3.8647E-01	7.2211E-01	4.4091E-01	3.1164338431417E-02
6.8425E-01	2.8733E+00	2.4581E-01	3.1414168050887E-02
2.7337E+00	6.6928E-01	6.4574E-01	3.1930910117779E-02
2.6897E+00	2.4611E+00	4.8936E-01	3.1934979153199E-02
3.0210E+00	2.7234E+00	3.8596E-01	3.2060460067487E-02
1.7518E+00	2.4724E+00	1.0145E+00	3.2235203776348E-02
2.6714E+00	7.0869E-01	6.1628E-01	3.2378973987590E-02
3.0596E+00	2.5869E+00	8.0620E-02	3.2662601015260E-02
3.0418E+00	2.4421E+00	4.4812E-01	3.3831421267119E-02
3.9469E-01	2.2928E+00	7.6422E-02	3.4034759105136E-02
2.0466E+00	2.6964E+00	4.2432E-01	3.4098032605920E-02
2.8870E+00	2.7377E+00	5.7520E-02	3.4237727678189E-02
1.6373E-01	2.3672E+00	4.9707E-01	3.4272721382803E-02
2.3014E+00	2.4384E+00	2.8866E-01	3.4641395319790E-02
3.5905E-01	6.4207E-01	4.5682E-01	3.4683001206961E-02
2.7948E+00	5.8966E-01	9.5293E-01	3.4754005875043E-02
2.4787E-01	2.3936E+00	8.1413E-01	3.4979867858629E-02
1.8745E-01	7.1536E-01	6.3126E-02	3.5024525522365E-02
2.9517E+00	2.6901E+00	3.9081E-02	3.5240095898115E-02
1.7998E-01	2.2794E+00	6.2043E-01	3.6233826573102E-02
2.9554E+00	5.5660E-01	4.3218E-02	3.6604040639996E-02
3.1219E+00	5.5654E-01	8.1514E-01	3.6826913917065E-02
1.9773E-01	2.4721E+00	1.0397E+00	3.8212278061398E-02
1.3411E+00	6.1481E-01	3.7457E-01	3.8361974822730E-02
3.6078E-01	2.5002E+00	5.4631E-01	3.8469050472553E-02
2.8578E+00	2.6353E+00	5.4049E-01	3.8585735149521E-02
2.8927E+00	2.4988E+00	3.3594E-01	3.8702772815312E-02
2.8156E+00	6.0713E-01	6.4186E-01	3.8725152510123E-02
2.9571E+00	2.4244E+00	9.3633E-01	3.8838294074499E-02
2.7018E-01	2.4593E+00	9.3293E-01	3.8845933688500E-02
2.6866E-01	2.3485E+00	9.3597E-01	3.8998312961433E-02
2.9266E+00	2.6215E+00	1.6877E-01	3.9428804701782E-02
3.0282E+00	3.8527E-01	9.9787E-01	3.9895310457376E-02
2.5342E+00	2.4721E+00	1.6546E-01	4.0201651858020E-02
2.5360E+00	5.7673E-01	4.2471E-01	4.0361947439363E-02
3.1039E+00	2.6609E+00	2.8126E-01	4.0674330340347E-02
2.4731E-01	4.7447E-01	5.4760E-01	4.1226947058021E-02
2.5648E+00	4.5110E-01	6.2301E-01	4.1286253249270E-02
2.8616E-01	2.5185E+00	8.8663E-01	4.1398542350726E-02
2.6740E-01	1.0148E+00	6.4561E-01	4.1592609908797E-02
2.9676E+00	2.6358E+00	8.4465E-01	4.1908714959932E-02
2.0656E+00	2.7482E+00	9.6871E-01	4.2162663460505E-02
6.8701E-03	5.6914E-01	3.4139E-01	4.2224919702434E-02
4.6414E-01	6.4663E-01	6.3630E-01	4.2377278630190E-02
3.1332E+00	2.4751E+00	5.9394E-01	4.2445434973478E-02
2.7060E+00	5.2159E-01	9.4421E-03	4.2814693834306E-02
3.0479E+00	2.4765E+00	5.6912E-01	4.2856401447363E-02
5.3055E-02	2.5972E+00	2.6452E-01	4.2932085506178E-02
7.2045E-03	2.3606E+00	4.8494E-01	4.3203852312857E-02
1.7374E-01	7.2764E-01	1.1459E-02	4.3415396378058E-02
4.6414E-01	6.4663E-01	6.3630E-01	4.3415679176020E-02
2.2884E-02	6.9667E-01	3.1652E-01	4.3415823626777E-02
2.6744E+00	7.4501E-01	1.3603E-01	4.3572656458977E-02
3.0077E+00	2.7513E+00	5.6006E-01	4.3614567523805E-02
2.9664E+00	2.4197E+00	5.6353E-01	4.3702051785339E-02
2.1611E+00	2.8283E+00	4.0025E-01	4.3716395135195E-02
1.8022E-01	2.4323E+00	4.1611E-01	4.3822979448992E-02
3.0175E+00	5.6390E-01	5.5472E-01	4.3993532051370E-02
3.6418E-01	7.1325E-01	5.3089E-01	4.4584661172037E-02
2.8032E-01	2.0670E+00	9.6360E-01	4.4673874773624E-02
2.9932E+00	2.6072E+00	7.4412E-01	4.4692694062443E-02
2.8192E+00	2.2461E+00	9.5398E-01	4.4938217625179E-02
4.7363E-01	2.3014E+00	3.0027E-01	4.4964259451868E-02
3.0290E+00	2.7817E+00	3.8329E-01	4.5125897814899E-02
3.0973E+00	8.0198E-01	4.2059E-01	4.5513772512775E-02
2.3986E+00	2.5220E+00	9.5466E-01	4.5579996064239E-02
2.8767E+00	2.3339E+00	6.2340E-01	4.5694024678336E-02
4.0718E-02	1.0381E+00	5.7846E-01	4.5988501788954E-02
