1.0012,1.8357,6.0144
0.46865,1.8942,5.993
1.7966,1.5206,6.0995
1.5589,1.7636,0.0044219
0.77413,1.2617,6.0482
0.56453,1.9029,5.8363
0.45232,0.92241,6.114
1.0662,1.6348,5.9191
0.70365,1.6001,6.2633
1.5689,1.9616,6.0887
0.47428,1.6275,6.1394
0.9558,1.5833,5.7628
0.96573,1.7999,5.8403
0.95589,1.3691,6.1295
1.0518,1.7854,6.2239
1.0762,2.0927,5.8982
1.325,1.8569,5.8875
1.5239,2.0038,0.047438
0.9875,1.7773,5.843
0.24901,1.6177,6.2626
0.34205,1.3724,6.0799
0.70507,1.4721,5.8691
1.4733,1.6221,6.1995
1.5499,1.6414,6.1636
0.5207,1.3592,5.7564
0.86418,1.4854,5.9647
1.097,1.785,5.8524
1.5683,1.6806,6.0569
1.8345,1.8708,6.2141
0.67913,1.6241,6.0415
0.99414,1.7705,5.7053
0.30845,1.8009,5.7977
1.1094,2.4276,5.5729
0.67854,0.78463,5.9276
0.78133,1.5564,5.7296
0.71368,1.0535,5.6583
1.1228,1.5035,5.7926
0.99266,2.029,5.6391
0.59944,1.8573,6.2205
0.70919,1.1102,5.8439
0.7238,1.4313,5.8719
1.069,1.6723,5.9226
0.97209,2.1488,5.9655
1.6109,0.93634,6.0483
0.87015,1.2644,6.0274
0.92619,1.3589,5.9467
0.3511,1.9377,6.228
0.86282,1.6375,6.246
0.59074,0.9582,5.8155
1.101,2.2558,6.0528
0.33908,1.9566,5.5708
1.1851,1.8898,0.24641
1.1798,1.7444,6.1757
0.72086,1.1498,6.0692
1.034,1.3083,5.7045
1.2751,2.0546,5.4907
0.99098,1.252,6.1735
0.815,1.7261,5.9683
1.7361,1.839,0.20376
0.59455,1.192,5.9763
1.1,1.2403,6.0492
1.0791,2.2061,5.5865
0.95607,1.8553,6.0212
1.0901,1.0075,5.8247
1.5101,1.0553,6.1075
0.61188,1.1449,5.7974
1.245,1.5916,6.0062
0.9008,1.7539,6.2568
1.1853,1.9973,5.6738
1.2008,1.0518,5.2518
0.58965,1.3721,6.2209
0.48762,1.4501,6.003
1.1812,2.3189,5.7043
0.6307,2.0454,5.8645
1.3173,1.3456,6.0981
1.1153,1.4755,0.25533
1.466,1.2772,6.0705
