ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;65;0.792998;1.7215;5.69191;0.0174533;4.19121;0;1.5708;0;0.942559
ID;66;1.03006;1.49856;5.76324;0.0174533;3.69369;0;1.5708;0;0.76248
ID;67;1.12888;1.23564;5.98202;0.0174533;4.88539;0;1.5708;0;0.66242
ID;68;0.582122;0.484158;5.74232;0.0174533;5.86681;0;1.5708;0;0.485879
ID;69;0.638835;1.70069;5.73042;0.0174533;0.611306;0.881747;2.21371;6.02432;0.59213
ID;70;0.819323;1.44845;5.99022;0.0174533;4.74019;0;1.5708;0;0.829192
ID;71;0.905364;0.958409;5.70844;0.0174533;1.87623;0.946887;1.99967;0.147196;0.836306
ID;72;0.821923;1.29785;6.04261;0.0174533;1.11677;1.36261;2.08938;0.215059;0.99819
ID;73;0.789243;1.38932;6.16104;0.0174533;2.79814;0.970198;2.23349;0.0213648;0.769736
ID;74;0.840102;1.63588;6.02692;0.0174533;5.35263;0;1.5708;0;0.767122
ID;75;0.0603261;1.18482;6.25969;0.0174533;5.29834;0;1.5708;0;0.390602
ID;76;0.945683;1.45943;5.73614;0.0174533;3.00623;2.465;2.25655;0.900849;0.566935
ID;77;0.827777;1.78207;5.65284;0.0174533;1.73932;1.36444;2.42351;6.23802;0.830837
ID;78;0.914354;1.406;5.66485;0.0174533;0.467167;1.03669;1.77259;5.81509;0.413268
ID;79;0.792699;1.48229;5.94818;0.0174533;4.92379;0;1.5708;0;0.847652
ID;80;0.676942;1.41491;5.71538;0.0174533;6.16521;0;1.5708;0;0.855036
ID;81;0.511186;1.49268;6.02749;0.0174533;3.3709;0;1.5708;0;0.566556
ID;82;0.421985;1.12787;6.0221;0.0174533;5.75416;0;1.5708;0;0.623398
ID;83;0.555282;1.26087;6.09426;0.0174533;5.90663;0;1.5708;0;0.635537
ID;84;0.871844;1.2512;5.70833;0.0174533;0.80358;0.928482;1.63653;5.75932;0.393637
ID;85;0.736026;1.45202;5.83087;0.0174533;5.07793;0;1.5708;0;0.843035
ID;86;0.989076;1.06255;5.97851;0.0174533;1.85117;0.930984;1.7836;0.173812;0.856515
ID;87;0.211767;1.12366;6.15177;0.0174533;0.31103;0.345245;1.3283;6.08127;0.241264
ID;88;0.928807;1.3539;5.70173;0.0174533;0.944983;1.01047;1.87869;6.13639;0.680524
ID;89;1.14763;1.17489;6.00334;0.0174533;0.0187537;1.1478;1.1768;6.00528;0.00277114
ID;90;0.950432;1.48145;5.925;0.0174533;4.98376;0;1.5708;0;0.73246
ID;91;0.176126;1.24728;6.11065;0.0174533;2.15779;5.99973;2.83593;4.79527;0.520077
ID;92;0.514214;1.58623;6.21548;0.0174533;4.70549;0;1.5708;0;0.519297
ID;93;0.952647;1.19757;5.95524;0.0174533;0.176192;0.974532;1.27927;5.98839;0.0934089
ID;94;0.122484;0.728124;6.16807;0.0174533;2.33075;0.264468;2.08797;6.17501;0.362364
ID;95;1.07039;1.10548;5.89594;0.0174533;2.29537;1.96164;2.09649;0.41897;0.652478
ID;96;0.422366;0.920937;5.95125;0.0174533;5.97099;0;1.5708;0;0.779827
ID;97;0.6897;1.53723;5.78619;0.0174533;5.83073;0;1.5708;0;0.838055
ID;98;1.09542;1.72352;5.9982;0.0174533;1.91668;1.91864;2.23422;1.15487;0.81339
ID;99;0.278013;1.17611;6.10366;0.0174533;2.58067;0.369375;2.06345;5.82505;0.857897
ID;100;0.792497;1.00511;6.01953;0.0174533;6.25367;0;1.5708;0;0.936618
ID;101;0.714785;1.31524;5.66083;0.0174533;0.250708;0.725973;1.42943;5.66622;0.114962
ID;102;1.07823;1.62022;6.17419;0.0174533;6.18855;0;1.5708;0;0.503985
ID;103;0.786085;1.37006;5.67663;0.0174533;4.10559;0;1.5708;0;0.952959
ID;104;0.807548;1.67363;5.95511;0.0174533;0.977112;1.33845;2.4426;0.0117558;0.890909
ID;105;0.507651;0.784817;5.92882;0.0174533;0.24899;0.568449;0.882736;5.90639;0.109319
ID;106;0.376288;1.4304;6.18775;0.0174533;5.26438;0;1.5708;0;0.406219
ID;107;0.911785;1.10609;5.71401;0.0174533;0.233559;0.910916;1.29498;5.79659;0.205988
ID;108;0.734132;0.877173;5.62869;0.0174533;0.0914347;0.740272;0.958314;5.65709;0.0874076
ID;109;1.22165;1.59446;5.95008;0.0174533;1.83878;2.28589;2.16204;1.27107;0.532657
ID;110;0.599485;1.41715;6.00309;0.0174533;0.544255;0.713145;1.83012;5.99837;0.428206
ID;111;0.431191;1.3754;5.99563;0.0174533;0.210538;0.43331;1.38243;5.9942;0.00740214
ID;112;0.939749;1.54155;6.04109;0.0174533;3.04271;1.09649;1.92229;0.140114;0.542131
ID;113;0.785506;1.00217;5.68933;0.0174533;5.39506;0;1.5708;0;0.992495
