ID;ID;phi1;PHI;phi2;q0;q1;q2;q3;phi1;PHI;phi2;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;27;1.50118;1.50748;6.22195;-0.548181;-0.485948;-0.481888;-0.480766;1.50118;1.50748;6.22195;-0.548181;-0.485948;-0.481888;-0.480766;4.21468e-08;4.21468e-08;1;2.77556e-17;0;0
ID;28;0.751747;0.517733;5.60179;-0.966083;-0.193028;-0.168132;-0.0339951;0.751747;0.517733;5.60179;-0.966083;-0.193028;-0.168132;-0.0339951;0;0;1;8.50015e-17;6.33174e-17;6.93889e-18
ID;29;0.26388;1.00912;6.08054;-0.874976;-0.470331;-0.111745;-0.0267973;0.26388;1.00912;6.08054;-0.874976;-0.470331;-0.111745;-0.0267973;2.98023e-08;2.98023e-08;1;1.73472e-18;0;0
ID;30;1.02744;1.58982;5.7654;-0.677733;-0.511145;-0.498238;-0.176544;1.02744;1.58982;5.7654;-0.677733;-0.511145;-0.498238;-0.176544;0;0;1;1.38778e-17;0;0
ID;31;0.731747;0.977841;5.67018;-0.881285;-0.367446;-0.292534;-0.0523834;0.731747;0.977841;5.67018;-0.881285;-0.367446;-0.292534;-0.0523834;0;0;1;3.46945e-18;0;0
ID;32;0.193728;1.14909;6.21563;-0.837771;-0.53882;-0.0707953;-0.0529225;0.193728;1.14909;6.21563;-0.837771;-0.53882;-0.0707953;-0.0529225;0;0;1;5.59448e-17;3.46945e-18;0
ID;33;0.561778;0.472801;5.81598;-0.971101;-0.203885;-0.11525;-0.0459538;0.561778;0.472801;5.81598;-0.971101;-0.203885;-0.11525;-0.0459538;0;0;1;1.13624e-16;4.68375e-17;0
ID;34;0.289218;1.17904;6.20103;-0.826757;-0.546405;-0.102642;-0.0859034;0.289218;1.17904;6.20103;-0.826757;-0.546405;-0.102642;-0.0859034;0;0;1;6.93889e-18;0;0
ID;35;0.357607;0.850519;6.07688;-0.908326;-0.396267;-0.114787;-0.0688492;0.357607;0.850519;6.07688;-0.908326;-0.396267;-0.114787;-0.0688492;0;0;1;6.93889e-18;0;0
ID;36;0.716352;1.56631;6.21692;-0.671582;-0.652189;-0.269082;-0.226322;0.716352;1.56631;6.21692;-0.671582;-0.652189;-0.269082;-0.226322;0;0;1;1.17961e-16;2.77556e-17;0
ID;37;0.381494;0.860798;6.08991;-0.904778;-0.400122;-0.118263;-0.0853998;0.381494;0.860798;6.08991;-0.904778;-0.400122;-0.118263;-0.0853998;0;0;1;1.14492e-16;4.85723e-17;0
ID;38;0.876987;1.55655;6.07858;-0.672259;-0.601869;-0.361428;-0.234927;0.876987;1.55655;6.07858;-0.672259;-0.601869;-0.361428;-0.234927;0;0;1;2.77556e-17;0;0
ID;39;1.32867;1.56761;6.11897;-0.591545;-0.518265;-0.479382;-0.389447;1.32867;1.56761;6.11897;-0.591545;-0.518265;-0.479382;-0.389447;0;0;1;0;0;0
ID;40;0.708199;1.20934;5.80951;-0.81704;-0.472085;-0.316728;-0.0962502;0.708199;1.20934;5.80951;-0.81704;-0.472085;-0.316728;-0.0962502;0;0;1;2.08167e-17;0;0
ID;41;0.708869;1.46265;5.70154;-0.742784;-0.533582;-0.401651;-0.0473146;0.708869;1.46265;5.70154;-0.742784;-0.533582;-0.401651;-0.0473146;2.98023e-08;2.98023e-08;1;1.38778e-17;6.93889e-18;0
ID;42;0.425142;1.16297;6.12406;-0.828266;-0.525995;-0.158187;-0.11082;0.425142;1.16297;6.12406;-0.828266;-0.525995;-0.158187;-0.11082;0;0;1;0;0;0
ID;43;0.920564;1.41893;5.89291;-0.732197;-0.516447;-0.39704;-0.198819;0.920564;1.41893;5.89291;-0.732197;-0.516447;-0.39704;-0.198819;0;0;1;0;0;0
ID;44;1.10458;1.60241;6.03022;-0.633708;-0.559;-0.450912;-0.287422;1.10458;1.60241;6.03022;-0.633708;-0.559;-0.450912;-0.287422;0;0;1;2.77556e-17;0;0
ID;45;1.47666;1.56378;6.26427;-0.529296;-0.516625;-0.479156;-0.472603;1.47666;1.56378;6.26427;-0.529296;-0.516625;-0.479156;-0.472603;0;0;1;1.11022e-16;2.77556e-17;0
ID;46;0.753121;1.33186;5.59619;-0.785913;-0.464436;-0.407388;-0.0259957;0.753121;1.33186;5.59619;-0.785913;-0.464436;-0.407388;-0.0259957;4.21468e-08;4.21468e-08;1;6.93889e-18;0;0
ID;47;0.63933;0.632771;5.72267;-0.949628;-0.256803;-0.175659;-0.0374426;0.63933;0.632771;5.72267;-0.949628;-0.256803;-0.175659;-0.0374426;2.98023e-08;2.98023e-08;1;1.40513e-16;3.81639e-17;6.93889e-18
ID;48;0.682626;0.963269;5.62475;-0.886174;-0.362936;-0.28785;-0.0107207;0.682626;0.963269;5.62475;-0.886174;-0.362936;-0.28785;-0.0107207;0;0;1;2.86229e-17;4.33681e-19;0
ID;49;0.778242;1.46617;6.11803;-0.708472;-0.59609;-0.304067;-0.224247;0.778242;1.46617;6.11803;-0.708472;-0.59609;-0.304067;-0.224247;0;0;1;0;0;0
ID;50;0.873471;1.33787;6.04737;-0.744946;-0.527184;-0.326596;-0.2459;0.873471;1.33787;6.04737;-0.744946;-0.527184;-0.326596;-0.2459;2.98023e-08;2.98023e-08;1;2.77556e-17;0;0
ID;51;0.775151;1.10571;5.63973;-0.849184;-0.398468;-0.342014;-0.0559961;0.775151;1.10571;5.63973;-0.849184;-0.398468;-0.342014;-0.0559961;0;0;1;1.38778e-17;6.93889e-18;0
ID;52;0.103462;1.50739;6.22365;-0.728989;-0.682067;-0.0557107;-0.0160141;0.103462;1.50739;6.22365;-0.728989;-0.682067;-0.0557107;-0.0160141;0;0;1;3.46945e-18;0;0
ID;53;1.23758;1.64779;6.1108;-0.585269;-0.558878;-0.475517;-0.344964;1.23758;1.64779;6.1108;-0.585269;-0.558878;-0.475517;-0.344964;0;0;1;2.77556e-17;0;0
ID;54;0.322721;1.14466;6.01376;-0.840342;-0.518029;-0.158018;-0.0223999;0.322721;1.14466;6.01376;-0.840342;-0.518029;-0.158018;-0.0223999;0;0;1;1.11456e-16;1.56125e-17;6.93889e-18
ID;55;0.755028;0.973207;6.00957;-0.858442;-0.407128;-0.230046;-0.210719;0.755028;0.973207;6.00957;-0.858442;-0.407128;-0.230046;-0.210719;0;0;1;6.245e-17;1.38778e-17;0
ID;56;0.245603;0.527149;6.0498;-0.965447;-0.253097;-0.0618012;-0.00589863;0.245603;0.527149;6.0498;-0.965447;-0.253097;-0.0618012;-0.00589863;0;0;1;8.33751e-17;2.29851e-17;8.67362e-19
